Name,Symbol,FloorCount
Athletic Fields Pump House (South),PH2,1
Prather Hall Dormitory,PHD,6
Pharmacy Building,PHR,6
Peter O'Donnell Jr. Building,POB,7
Hal C. Weaver Power Plant Annex,PPA,1
Hal C Weaver Power Plant Expansion,PPE,5
Hal C. Weaver Power Plant,PPL,6
Dobie Paisano Ranch House,PRH,1
Quarters Building,QTR,1
Roberts Hall Dormitory,RHD,5
Robert Lee Moore Hall,RLM,19
Intercollegiate Rowing Boat House,ROW,1
Recreational Sports Center,RSC,2
Student Activity Center,SAC,7
San Antonio Garage,SAG,7
Red and Charline McCombs Field,SBS,2
Sarah M. & Charles E. Seay Building,SEA,8
Service Building,SER,5
San Jacinto Garage,SJG,8
San Jacinto Residence Hall,SJH,7
Telecomm.Svc.Satellite Ops Facility,SOF,1
Sid Richardson Hall,SRH,5
Student Services Building,SSB,7
School of Social Work Building,SSW,4
Darrell K Royal TX Memorial Stadium,STD,10
Sutton Hall,SUT,5
2617 Speedway (Ofc.Bldg.),SW7,2
Speedway Garage,SWG,6
George I. Sanchez Building,SZB,5
Joe C Thompson Conference Center,TCC,4
Texas Cowboys Pavilion,TCP,1
Thermal Energy Storage,TES,1
Texas Memorial Museum,TMM,6
Townes Hall,TNH,5
University Towers,TR1,1
University Towers Parking,TR2,1
Trinity Garage,TRG,6
Tennis Support Building,TSB,1
Lee & Joe Jamail Texas Swimming Ctr,TSC,6
27th Street Garage,TSG,5
2609 University Avenue,UA9,4
Univ. Interscholastic League Bldg.,UIL,4
Union Building,UNB,5
University Police Building,UPB,1
University Sign Shop,USS,1
UT Administration Building,UTA,10
University Teaching Center,UTC,6
Etter-Harbin Alumni Center,UTX,5
KVRX Transmitter Twr & Cntrl Bldg,VRX,1
Waggener Hall,WAG,6
Arthur P. Watson House,WAT,2
Will C. Hogg Bldg.,WCH,6
Waller Creek Control Station,WCS,1
Robert A. Welch Hall,WEL,7
Whitaker Gateway Building,WGB,1
F.L. Winship Drama Bldg.,WIN,4
West Mall Office Bldg.,WMB,7
W.R. Woolrich Labs.,WRW,6
Walter Webb Hall,WWH,4
